0  400  0.  0.
321 0 321 0.563179  -0.0993152  1.8122  -2.79632  0.133838  227.368  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.00264271  0.00204901  0.459109  -2.70264  0.241955  225.161  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.152886  0.0365599  0.702606  -2.65853  0.00960174  229.282  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.16148  0.00450448  0.502794  -2.66563  0.227323  226.59  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.0457053  -0.0121086  0.665653  -2.82256  0.0684796  225.097  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.0234042  -0.00715391  0.196804  -2.53046  0.0788415  228.258  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.331153  0.0450928  0.673197  -2.66564  0.0876584  226.163  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.203451  -0.0319374  0.706853  -2.7084  -0.114469  229.854  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.0339613  0.00674542  0.251956  -2.63437  0.0650937  226.027  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.400281  0.0687139  0.799388  -2.73263  -0.0334982  226.242  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.00737289  -0.00209219  0.35718  -2.68402  -0.140777  228.62  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.117392  0.00562002  0.269417  -2.67762  0.0242347  226.57  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.212905  -0.0549644  0.457356  -2.84318  -0.010311  226.078  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.0238016  0.00367796  0.368858  -2.81966  -0.0615111  225.68  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.391654  -0.0542891  0.502775  -2.87474  -0.0517826  228.89  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.0115592  0.00245435  0.414966  -2.82232  -0.00220858  225.355  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.00530201  0.000561077  0.391607  -2.71919  0.135561  228.968  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.00151026  -0.000982946  0.878801  -2.76331  0.0165551  228.578  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.0107617  -9.87227e-05  0.316502  -2.69557  0.0331272  228.142  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.0638174  0.0917336  0.974437  -2.60781  0.231282  227.579  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.388177  0.084051  1.03901  -2.6572  0.0356819  227.068  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.0678666  -0.00720501  0.605146  -2.90531  0.132178  226.977  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.0576277  0.000582414  0.780361  -2.58275  0.1301  227.174  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.235754  -0.0328212  0.288086  -2.69759  0.0698621  225.631  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.0368208  -0.00127838  0.466173  -2.58688  -0.0925807  229.732  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.0305834  0.0016505  0.815759  -2.74367  0.209578  225.746  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.116408  -0.0728863  0.802227  -2.71999  -0.15824  228.105  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.0715476  -0.0372292  0.231277  -2.59602  -0.122563  225.98  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.143981  0.019477  0.38677  -2.49544  0.0756556  225.5  0.493677
-1  6  12  0  0  32.1023  0.  0.  -200.  11.178
321 0 321 0.0106829  0.00979578  0.424012  -2.51155  -0.0552371  229.522  0.493677
