0  2  0.  0.
2212  0  2212  0.971614  -0.187345  3.16608  -2.83696  -0.155484  296.531  0.938272
-211  0  -211  0.0630678  0.0317972  0.535955  -2.83696  -0.155484  296.531  0.13957
1  2  0.  0.
2212  0  2212  0.354542  0.0894385  1.47999  -2.62884  0.112764  232.16  0.938272
-211  0  -211  -0.0337085  -0.056576  0.232956  -2.62884  0.112764  232.16  0.13957
2  2  0.  0.
2212  0  2212  0.0455564  -0.16399  0.75198  -2.58814  0.17919  226.792  0.938272
-211  0  -211  0.0953611  0.0438651  0.0973015  -2.58814  0.17919  226.792  0.13957
3  2  0.  0.
2212  0  2212  -0.021744  -0.0867137  1.05811  -2.66157  0.150558  232.95  0.938272
-211  0  -211  0.0672745  0.0750349  0.238999  -2.66157  0.150558  232.95  0.13957
4  2  0.  0.
2212  0  2212  0.610746  -0.00161244  1.33552  -2.76919  -0.191081  227.606  0.938272
-211  0  -211  0.0234186  0.0867902  0.222255  -2.76919  -0.191081  227.606  0.13957
5  2  0.  0.
2212  0  2212  0.00556693  0.0720204  0.510142  -2.81637  0.116432  227.9  0.938272
-211  0  -211  0.0119399  -0.0801661  0.179254  -2.81637  0.116432  227.9  0.13957
6  2  0.  0.
2212  0  2212  0.459112  -0.051244  1.35223  -2.91718  -0.0487831  228.18  0.938272
-211  0  -211  -0.033053  0.0357815  0.217514  -2.91718  -0.0487831  228.18  0.13957
7  2  0.  0.
2212  0  2212  0.295122  0.0292753  1.01734  -2.75592  -0.227711  233.984  0.938272
-211  0  -211  0.00602303  -0.0366053  0.0373009  -2.75592  -0.227711  233.984  0.13957
8  2  0.  0.
2212  0  2212  0.0794262  0.0555178  0.582601  -2.71993  -0.03792  230.162  0.938272
-211  0  -211  -0.0560221  -0.0558803  0.0263557  -2.71993  -0.03792  230.162  0.13957
9  2  0.  0.
2212  0  2212  0.153134  0.0512665  0.505059  -2.92222  -0.00982907  227.62  0.938272
-211  0  -211  -0.0354026  -0.0189685  0.201876  -2.92222  -0.00982907  227.62  0.13957
10  2  0.  0.
2212  0  2212  0.0868343  -0.08648  0.983065  -2.69432  -0.220611  229.948  0.938272
-211  0  -211  0.101874  0.0271656  0.30017  -2.69432  -0.220611  229.948  0.13957
11  2  0.  0.
2212  0  2212  0.173936  0.0387648  1.35345  -2.62263  -0.190672  234.266  0.938272
-211  0  -211  -0.0406337  -0.0442865  0.105441  -2.62263  -0.190672  234.266  0.13957
12  2  0.  0.
2212  0  2212  0.0485203  -0.0981964  0.336889  -2.80366  -0.194944  228.819  0.938272
-211  0  -211  0.0678455  0.0574832  0.139585  -2.80366  -0.194944  228.819  0.13957
13  2  0.  0.
2212  0  2212  0.65418  0.193514  0.729026  -2.52761  -0.070364  227.457  0.938272
-211  0  -211  0.040572  0.0407234  0.224234  -2.52761  -0.070364  227.457  0.13957
14  2  0.  0.
2212  0  2212  1.01749  0.0630557  0.798241  -2.50157  -0.00946727  245.14  0.938272
-211  0  -211  0.162508  -0.105958  0.135956  -2.50157  -0.00946727  245.14  0.13957
15  2  0.  0.
2212  0  2212  0.177338  0.0937416  0.754521  -2.68077  0.176802  226.856  0.938272
-211  0  -211  0.0430219  -0.101077  0.150615  -2.68077  0.176802  226.856  0.13957
16  2  0.  0.
2212  0  2212  0.304456  -0.000182796  1.84704  -2.55034  0.0301639  228.991  0.938272
-211  0  -211  -0.0128572  0.0200183  0.116908  -2.55034  0.0301639  228.991  0.13957
17  2  0.  0.
2212  0  2212  -0.0391144  0.0906559  0.57561  -2.77684  0.0100218  227.365  0.938272
-211  0  -211  0.047443  -0.0889161  0.0972792  -2.77684  0.0100218  227.365  0.13957
18  2  0.  0.
2212  0  2212  0.172223  0.0647211  1.45783  -2.58188  -0.0740384  226.139  0.938272
-211  0  -211  0.0136226  -0.0521134  0.0931855  -2.58188  -0.0740384  226.139  0.13957
19  2  0.  0.
2212  0  2212  -0.0443093  -0.19852  0.983719  -2.55655  0.0110992  241.104  0.938272
-211  0  -211  -0.000751352  0.0818073  0.192152  -2.55655  0.0110992  241.104  0.13957
20  2  0.  0.
2212  0  2212  0.840469  -0.00945242  1.1351  -2.77062  -0.0760474  237.069  0.938272
-211  0  -211  0.0814641  0.00750186  0.0351116  -2.77062  -0.0760474  237.069  0.13957
21  2  0.  0.
2212  0  2212  0.0699856  -0.0225444  0.192134  -2.63121  0.0026218  228.168  0.938272
-211  0  -211  -0.021485  0.0390295  0.14486  -2.63121  0.0026218  228.168  0.13957
22  2  0.  0.
2212  0  2212  -0.0276916  -0.0560618  1.12846  -2.73798  -0.126319  227.055  0.938272
-211  0  -211  0.102625  0.0396099  0.229852  -2.73798  -0.126319  227.055  0.13957
23  2  0.  0.
2212  0  2212  0.0460066  -0.0787177  0.834598  -2.80046  0.0557875  238.867  0.938272
-211  0  -211  -0.0083463  0.0649166  0.273281  -2.80046  0.0557875  238.867  0.13957
24  2  0.  0.
2212  0  2212  0.115267  0.039271  0.481349  -2.50287  0.0546534  229.98  0.938272
-211  0  -211  0.00569777  -0.0468741  0.210089  -2.50287  0.0546534  229.98  0.13957
25  2  0.  0.
2212  0  2212  0.160594  0.0508928  0.661498  -2.69951  0.0523805  245.803  0.938272
-211  0  -211  -0.0742435  -0.037704  0.0720496  -2.69951  0.0523805  245.803  0.13957
26  2  0.  0.
2212  0  2212  0.529111  0.0798117  1.42169  -2.82297  0.0347735  241.785  0.938272
-211  0  -211  0.214058  -0.00350897  0.236675  -2.82297  0.0347735  241.785  0.13957
27  2  0.  0.
2212  0  2212  0.0847375  -0.0633839  0.545991  -2.50994  -0.0459476  248.803  0.938272
-211  0  -211  -0.0455253  0.0905358  0.0985996  -2.50994  -0.0459476  248.803  0.13957
28  2  0.  0.
2212  0  2212  0.103573  0.0291572  1.27357  -2.8824  0.0220337  229.579  0.938272
-211  0  -211  -0.066884  -0.0275127  0.362102  -2.8824  0.0220337  229.579  0.13957
29  2  0.  0.
2212  0  2212  0.544932  0.182083  0.434106  -2.76457  -0.159183  236.993  0.938272
-211  0  -211  -0.0070714  0.0448329  0.133675  -2.76457  -0.159183  236.993  0.13957
30  2  0.  0.
2212  0  2212  0.33499  0.0424451  1.16401  -2.55312  0.0858376  232.912  0.938272
-211  0  -211  0.112843  -0.0966587  0.188427  -2.55312  0.0858376  232.912  0.13957
31  2  0.  0.
